,Class Index,Description
0,2,How did serfdom develop in and then leave Russia ?
1,3,What films featured the character Popeye Doyle ?
2,2,How can I find a list of celebrities ' real names ?
3,3,What fowl grabs the spotlight after the Chinese Year of the Monkey ?
4,1,What is the full form of .com ?
5,4,What contemptible scoundrel stole the cork from my lunch ?
6,4,What team did baseball 's St. Louis Browns become ?
7,4,What is the oldest profession ?
8,2,What are liver enzymes ?
9,4,Name the scar-faced bounty hunter of The Old West .
10,6,When was Ozzy Osbourne born ?
11,2,Why do heavier objects travel downhill faster ?
12,4,Who was The Pride of the Yankees ?
13,4,Who killed Gandhi ?
14,3,What is considered the costliest disaster the insurance industry has ever faced ?
15,5,What sprawling U.S. state boasts the most airports ?
16,2,What did the only repealed amendment to the U.S. Constitution deal with ?
17,6,How many Jews were executed in concentration camps during WWII ?
18,2,What is `` Nine Inch Nails '' ?
19,2,What is an annotated bibliography ?
20,6,What is the date of Boxing Day ?
21,3,What articles of clothing are tokens in Monopoly ?
22,4,Name 11 famous martyrs .
23,2,What 's the Olympic motto ?
24,2,What is the origin of the name ` Scarlett ' ?
25,3,What 's the second-most-used vowel in English ?
26,4,Who was the inventor of silly putty ?
27,5,What is the highest waterfall in the United States ?
28,3,Name a golf course in Myrtle Beach .
29,5,Which two states enclose Chesapeake Bay ?
30,1,What does the abbreviation AIDS stand for ?
31,3,What does a spermologer collect ?
32,6,How many points make up a perfect fivepin bowling score ?
33,4,Which company that manufactures video-game hardware sells the `` super system '' ?
34,6,How many Community Chest cards are there in Monopoly ?
35,2,What do Mormons believe ?
36,6,When did the neanderthal man live ?
37,3,In what religion was Isis the nature goddess ?
38,5,Where do the adventures of `` The Swiss Family Robinson '' take place ?
39,3,What relative of the racoon is sometimes known as the cat-bear ?
40,2,How can I register my website in Yahoo for free ?
41,3,What was cash-conscious Colonel Edwin L. Drake the first to drill ?
42,6,How many people in the world speak French ?
43,6,How many inches over six feet is the Venus de Milo ?
44,2,How do they find or choose witnesses to an execution ?
45,4,What 1920s cowboy star rode Tony the Wonder Horse ?
46,3,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?
47,4,What ISPs exist in the Caribbean ?
48,2,How do you ask a total stranger out on a date ?
49,3,What weapon is the mythological character Apollo most proficient with ?
50,5,What country do the Galapagos Islands belong to ?
51,2,What is ethology ?
52,4,Who was the prophet of the Muslim people ?
53,2,Where did the term `` 86ed '' come from ?
54,4,Who is Snoopy 's arch-enemy ?
55,2,What is the nature of learning ?
56,3,What 's the only color Johnny Cash wears on stage ?
57,3,What 's the term for a young fox ?
58,5,What U.S. state lived under six flags ?
59,2,What is the Kashmir issue ?
60,5,Where is the Loop ?
61,2,What does `` extended definition '' mean and how would one write a paper on it ?
62,5,What country 's capital is Tirana ?
63,2,What is titanium ?
64,4,Who do Herb and Tootsie live next door to ?
65,5,Which city has the oldest relationship as a sisterðcity with Los Angeles ?
66,2,What is a caldera ?
67,2,Why do people get calluses ?
68,5,What are the names of the tourist attractions in Reims ?
69,2,What are Cushman and Wakefield known for ?
70,5,What body of water does the Danube River flow into ?
71,4,Who is the founder of Scientology ?
72,3,What does the six-footed Musca domestica become when it enters a house ?
73,2,What is the history of skateboarding ?
74,4,Who starred in Singing in the Rain and The Singing Nun ?
75,2,How do I make fuel bricks from recycled newspaper ?
76,4,What 19th-century painter died in the Marquesas Islands ?
77,3,The corpus callosum is in what part of the body ?
78,2,How do I log on to home page at Headquarters U.S. European Command ?
79,5,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP ."
80,3,What is Nebraska 's most valuable resource ?
81,6,How many species of the Great White shark are there ?
82,2,What is the origin of head lice ?
83,5,What is the nickname for the state of Mississippi ?
84,3,What was the first domesticated bird ?
85,6,How many villi are found in the small intestine ?
86,5,What country did King Wenceslas rule ?
87,3,What is a fear of shadows ?
88,4,Who were the five Marx brothers ?
89,6,In which year was New Zealand excluded from the ANZUS alliance ?
90,6,When did CNN begin broadcasting ?
91,2,What causes the body to shiver in cold temperatures ?
92,2,What are bear and bull markets ?
93,3,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?
94,2,What is `` dew point '' ?
95,2,What is the meaning of Jesus ?
96,4,What company 's logo is a `` W '' in a circle ?
97,2,What is the definition of a cascade ?
98,6,When did Rococo painting and architecture flourish ?
99,5,What country 's national passenger rail system is called Via ?
100,4,Who invented Make-up ?
101,2,What is the origin of the word `` attic '' ?
102,2,What did Delilah do to Samson 's hair ?
103,3,What kind of animals were in the Paleozoic era ?
104,4,Which of the following was Rhodes Scholar ?
105,4,Who comprised the now-defunct comic book team known as the Champions ?
106,2,How do you make a paintball ?
107,5,What U.S. state is Fort Knox in ?
108,3,What is a female rabbit called ?
109,5,Where is the highest point in Japan ?
110,2,Where do chihuahuas come from ?
111,5,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?
112,5,What are the world 's four oceans ?
113,3,What 's the only work by Michelangelo that bears his signature ?
114,3,What is the largest snake in the world ?
115,3,In what medium is Stuart Hamblen considered to be the first singing cowboy ?
116,5,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?
117,6,How much money does a back injury lawsuit get ?
118,3,What 's the common name for acetylsalicylic acid ?
119,2,What does the Georgetown `` Hoya '' mean ?
120,5,Where can I find a list of `` classic '' books 5th and 6th graders should read ?
121,3,Which two products use a tiger as their symbol ?
122,2,How is the election of a new Pope announced to the world ?
123,6,How long does it take for your blood to make one complete trip through the body ?
124,2,How do chickens have baby chicks ?
125,2,What is the historical relationship of Catholic Church and bingo ?
126,2,How was the element calcium named ?
127,4,What crooner joined The Andrews Sisters for Pistol Packin Mama ?
128,4,What piano company claims its product is the `` Instrument of the immortals '' ?
129,6,When did the Bounty mutiny take place ?
130,3,What novel inspired the movie BladeRunner ?
131,2,What is a transistor ?
132,3,What is a film starring Jude Law ?
133,3,What Hollywood dog died in the arms of Jean Harlow in 1932 ?
134,3,What are the most common elements in the Earth 's crust ?
135,6,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?"
136,4,What actress has received the most Oscar nominations ?
137,2,What are equity securities ?
138,2,What is gymnophobia ?
139,6,How many years do fossils take to form ?
140,5,Where is the Orinoco ?
141,3,What was the name of the `` Little Rascals '' dog ?
142,5,"What city boasts Penn 's Landing , on the banks of the Delaware river ?"
143,3,What Broadway musical was inspired by Cervantes 's Don Quixote ?
144,2,"What is the origin of the word , JJ ."
